剑川路地铁站	5	31.0264240	121.4165780
东川路地铁站	5	31.0182220	121.4198600
金平路地铁站	5	31.0112270	121.4101660
华宁路地铁站	5	31.0073790	121.3952550
文井路地铁站	5	31.0035600	121.3808050
闵行开发区地铁站	5	31.0107213	121.4082187
港城路地铁站	6	31.3530150	121.5748400
外高桥保税区北地铁站	6	31.3478400	121.5869140
航津路地铁站	6	31.3354410	121.5939810
外高桥保税区南地铁站	6	31.3215893	121.6019475
洲海路地铁站	6	31.3123170	121.5894070
五洲大道地铁站	6	31.3025890	121.5893140
东靖路地铁站	6	31.2906680	121.5888470
巨峰路地铁站	6	31.2806800	121.5884480
五莲路地铁站	6	31.2720730	121.5879560
博兴路地铁站	6	31.2635010	121.5866890
金桥路地铁站	6	31.2571810	121.5819000
云山路地铁站	6	31.2503890	121.5727330
德平路地铁站	6	31.2453940	121.5642310
北洋泾路地铁站	6	31.2391210	121.5522600
民生路地铁站	6	31.2358500	121.5435250
源深体育中心地铁站	6	31.2330040	121.5346430
世纪大道地铁站	6	31.2289780	121.5268500
浦电路(6号线)地铁站	6	31.2201520	121.5291040
蓝村路地铁站	6	31.2118540	121.5277340
上海儿童医学中心地铁站	6	31.2032890	121.5234910
临沂新村地铁站	6	31.1931840	121.5166650
高科西路地铁站	6	31.1857450	121.5097930
东明路地铁站	6	31.1726460	121.5108680
高青路地铁站	6	31.1600880	121.5156790
华夏西路地铁站	6	31.1498700	121.5145150
上南路地铁站	6	31.1491330	121.5062820
灵岩南路地铁站	6	31.1487630	121.4953160
东方体育中心地铁站	6	31.1533660	121.4803040
花木路地铁站	7	31.2112120	121.5627540
龙阳路地铁站	7	31.2024910	121.5577250
芳华路地铁站	7	31.1931600	121.5500990
锦绣路地铁站	7	31.1875920	121.5400410
杨高南路地铁站	7	31.1875730	121.5251060
高科西路地铁站	7	31.1857450	121.5097930
云台路地铁站	7	31.1821280	121.5003750
耀华路地铁站	7	31.1785130	121.4946120
长清路地铁站	7	31.1746100	121.4861180
后滩地铁站	7	31.1718830	121.4739360
龙华中路地铁站	7	31.1849660	121.4571380
东安路地铁站	7	31.1908150	121.4548700
肇嘉浜路地铁站	7	31.1994940	121.4503380
常熟路地铁站	7	31.2135240	121.4491410
静安寺地铁站	7	31.2232040	121.4464550
昌平路地铁站	7	31.2338840	121.4425270
长寿路地铁站	7	31.2399765835	121.4381133814
镇坪路地铁站	7	31.2465100	121.4300020
岚皋路地铁站	7	31.2562220	121.4217930
新村路地铁站	7	31.2639520	121.4226820
大华三路地铁站	7	31.2738700	121.4230460
行知路地铁站	7	31.2849420	121.4214930
大场镇地铁站	7	31.2933200	121.4165480
场中路地铁站	7	31.3038640	121.4136940
上大路地铁站	7	31.3149630	121.4086010
南陈路地铁站	7	31.3214360	121.3987240
上海大学地铁站	7	31.3205730	121.3888120
祁华路地铁站	7	31.3223150	121.3735690
顾村公园地铁站	7	31.3448090	121.3727630
刘行地铁站	7	31.3575680	121.3624020
潘广路地铁站	7	31.3641790	121.3558370
罗南新村地铁站	7	31.3887330	121.3574510
美兰湖地铁站	7	31.4017210	121.3501220
沈杜公路地铁站	8	31.0614090	121.5122280
联航路地铁站	8	31.0734170	121.5105900
江月路地铁站	8	31.0842060	121.5092730
浦江镇地铁站	8	31.0962450	121.5063880
芦恒路地铁站	8	31.1190740	121.4978130
凌兆新村地铁站	8	31.1413570	121.4896430
东方体育中心地铁站	8	31.1533660	121.4803040
杨思地铁站	8	31.1610670	121.4934630
成山路地铁站	8	31.1706880	121.4962360
耀华路地铁站	8	31.1785130	121.4946120
中华艺术宫地铁站	8	31.1854110	121.4936250
西藏南路地铁站	8	31.2019630	121.4895610
陆家浜路地铁站	8	31.2117720	121.4861080
老西门地铁站	8	31.2188710	121.4829390
大世界地铁站	8	31.2271820	121.4793260
人民广场地铁站	8	31.2327110	121.4757550
曲阜路地铁站	8	31.2423070	121.4715430
中兴路地铁站	8	31.2532280	121.4690260
西藏北路地铁站	8	31.2635230	121.4687830
虹口足球场地铁站	8	31.2705990	121.4794140
曲阳路地铁站	8	31.2765200	121.4907100
四平路地铁站	8	31.2748790	121.5014810
鞍山新村地铁站	8	31.2732480	121.5097300
江浦路地铁站	8	31.2749590	121.5184470
黄兴路地铁站	8	31.2787880	121.5283630
延吉中路地铁站	8	31.2885920	121.5349400
黄兴公园地铁站	8	31.2958310	121.5331410
翔殷路地铁站	8	31.3050020	121.5319740
嫩江路地铁站	8	31.3147890	121.5319520
市光路地铁站	8	31.3227570	121.5319340
杨高中路地铁站	9	31.2275270	121.5487140
世纪大道地铁站	9	31.2289780	121.5268500
商城路地铁站	9	31.2303000	121.5162140
小南门地铁站	9	31.2169819245	121.4985640781
陆家浜路地铁站	9	31.2117720	121.4861080
马当路地铁站	9	31.2095200	121.4772560
打浦桥地铁站	9	31.2063130	121.4686890
嘉善路地铁站	9	31.2028550	121.4608560
肇嘉浜路地铁站	9	31.1994940	121.4503380
徐家汇地铁站	9	31.1946280	121.4361350
宜山路地铁站	9	31.1753410	121.4182300
桂林路地铁站	9	31.1747610	121.4180690
漕河泾开发区地铁站	9	31.1706250	121.3978100
合川路地铁站	9	31.1665450	121.3847820
星中路地铁站	9	31.1581480	121.3690500
七宝地铁站	9	31.1552920	121.3492300
中春路地铁站	9	31.1496380	121.3381830
九亭地铁站	9	31.1385610	121.3201990
泗泾地铁站	9	31.1183190	121.2604500
佘山地铁站	9	31.1044670	121.2297210
洞泾地铁站	9	31.0844890	121.2304730
松江大学城地铁站	9	31.0540890	121.2326170
松江新城地铁站	9	31.0303100	121.2307390
松江体育中心地铁站	9	31.0155660	121.2304880
醉白池地铁站	9	31.0015290	121.2293510
松江南站地铁站	9	30.9852230	121.2310670
新江湾城地铁站	10	31.3285880	121.5067660
殷高东路地铁站	10	31.3217770	121.5068150
三门路地铁站	10	31.3115296	121.4860935
江湾体育场地铁站	10	31.3028610	121.5142180
五角场地铁站	10	31.2980630	121.5146480
国权路地铁站	10	31.2893030	121.5100390
同济大学地铁站	10	31.2821820	121.5063100
四平路地铁站	10	31.2748790	121.5014810
邮电新村地铁站	10	31.2687040	121.4945610
海伦路地铁站	10	31.2592760	121.4886750
四川北路地铁站	10	31.2520760	121.4843520
天潼路地铁站	10	31.2439080	121.4824490
南京东路地铁站	10	31.2380730	121.4846410
豫园地铁站	10	31.2277600	121.4874780
老西门地铁站	10	31.2188710	121.4829390
新天地地铁站	10	31.2164650	121.4752950
陕西南路地铁站	10	31.2150000	121.4582660
上海图书馆地铁站	10	31.2081000	121.4443500
交通大学地铁站	10	31.2022640	121.4352560
虹桥路地铁站	10	31.1974480	121.4207730
宋园路地铁站	10	31.1965930	121.4117300
伊犁路地铁站	10	31.1988340	121.4040690
水城路地铁站	10	31.1994250	121.3920760
龙溪路地铁站	10	31.1943310	121.3799170
龙柏新村地铁站	10	31.1770680	121.3703780
紫藤路地铁站	10	31.1697600	121.3644120
航中路地铁站	10	31.1658530	121.3551630
上海动物园地铁站	10	31.1902460	121.3681460
虹桥1号航站楼地铁站	10	31.1913650	121.3470810
虹桥2号航站楼地铁站	10	31.1942300	121.3262490
虹桥火车站地铁站	10	31.1939500	121.3215500
迪士尼地铁站	11	31.1412268676	121.6680548523
康新公路地铁站	11	31.1304456651	121.6174722505
秀沿路地铁站	11	31.1362870	121.5902640
罗山路地铁站	11	31.1528020	121.5933480
御桥地铁站	11	31.1581710	121.5710970
浦三路地铁站	11	31.1508360	121.5388790
三林东地铁站	11	31.1464530	121.5229750
三林地铁站	11	31.1432270	121.5115190
东方体育中心地铁站	11	31.1533660	121.4803040
